111 1.11  0.195	0.205	0.215	0.225	0.235	0.245	0.255	0.265	0.275
  -12     0.775	0.27539	0.26998	0.26452	0.25900	0.25343	0.24781	0.24220	0.23654	0.23093
  -12     0.825	0.29163	0.28616	0.28068	0.27505	0.26940	0.26372	0.25801	0.25228	0.24657
  -12     0.875	0.30736	0.30187	0.29631	0.29063	0.28493	0.27917	0.27336	0.26756	0.26174
  -12     0.925	0.32253	0.31700	0.31139	0.30570	0.29996	0.29411	0.28824	0.28238	0.27646
  -12     0.975	0.33711	0.33155	0.32584	0.32007	0.31427	0.30841	0.30252	0.29660	0.29064
  -12     1.025	0.35122	0.34562	0.33992	0.33416	0.32829	0.32232	0.31633	0.31028	0.30421
  -12     1.075	0.36476	0.35912	0.35336	0.34746	0.34160	0.33568	0.32968	0.32362	0.31752
  -12     1.125	0.37771	0.37211	0.36637	0.36053	0.35461	0.34856	0.34243	0.33625	0.33020
  -12     1.175	0.39039	0.38471	0.37890	0.37295	0.36690	0.36090	0.35484	0.34872	0.34252
  -12     1.225	0.40243	0.39666	0.39084	0.38499	0.37901	0.37293	0.36675	0.36045	0.35427
  -12     1.275	0.41397	0.40833	0.40253	0.39658	0.39047	0.38427	0.37818	0.37200	0.36575
  -12     1.325	0.42531	0.41956	0.41363	0.40753	0.40158	0.39550	0.38932	0.38300	0.37661
  -12     1.375	0.43598	0.43018	0.42433	0.41845	0.41241	0.40618	0.39980	0.39360	0.38732
  -12     1.425	0.44628	0.44063	0.43481	0.42876	0.42256	0.41638	0.41022	0.40393	0.39750
  -12     1.475	0.45645	0.45075	0.44476	0.43861	0.43255	0.42644	0.42013	0.41366	0.40736
  -12     1.525	0.46609	0.46022	0.45416	0.44828	0.44223	0.43598	0.42953	0.42331	0.41694
  -12     1.575	0.47533	0.46939	0.46362	0.45765	0.45145	0.44506	0.43886	0.43249	0.42596
  -12     1.625	0.48420	0.47852	0.47272	0.46656	0.46024	0.45413	0.44783	0.44133	0.43493
  -12     1.675	0.49289	0.48724	0.48119	0.47493	0.46895	0.46274	0.45628	0.44990	0.44350
  -12     1.725	0.50140	0.49551	0.48941	0.48345	0.47736	0.47100	0.46462	0.45828	0.45172
  -12     1.775	0.50944	0.50354	0.49756	0.49162	0.48537	0.47897	0.47273	0.46624	0.45961
  -12     1.825	0.51716	0.51121	0.50543	0.49927	0.49288	0.48685	0.48048	0.47382	0.46742
  -12     1.875	0.52468	0.51900	0.51294	0.50654	0.50063	0.49448	0.48791	0.48141	0.47489
  -12     1.925	0.53207	0.52652	0.52003	0.51381	0.50806	0.50179	0.49514	0.48856	0.48201
  -12     1.975	0.53942	0.53349	0.52686	0.52094	0.51514	0.50856	0.50214	0.49554	0.48895
  -12     2.025	0.54607	0.54006	0.53377	0.52795	0.52177	0.51538	0.50898	0.50237	0.49595
  -12     2.075	0.55239	0.54633	0.54071	0.53473	0.52802	0.52201	0.51562	0.50904	0.50256
  -12     2.125	0.55871	0.55264	0.54734	0.54105	0.53462	0.52826	0.52187	0.51552	0.50886
  -12     2.175	0.56493	0.55919	0.55343	0.54696	0.54081	0.53458	0.52798	0.52168	0.51497
  -12     2.225	0.57080	0.56553	0.55919	0.55288	0.54697	0.54050	0.53414	0.52761	0.52094
  -12     2.275	0.57669	0.57126	0.56494	0.55880	0.55284	0.54635	0.54003	0.53326	0.52674
  -12     2.325	0.58258	0.57673	0.57040	0.56476	0.55840	0.55193	0.54560	0.53889	0.53250
  -12     2.375	0.58834	0.58211	0.57599	0.57035	0.56367	0.55751	0.55092	0.54453	0.53796
  -12     2.425	0.59349	0.58743	0.58157	0.57548	0.56898	0.56282	0.55626	0.54990	0.54326
  -12     2.475	0.59864	0.59225	0.58699	0.58046	0.57427	0.56804	0.56151	0.55505	0.54816
  -12     2.525	0.60357	0.59749	0.59181	0.58532	0.57933	0.57311	0.56653	0.56008	0.55332
  -12     2.575	0.60824	0.60264	0.59669	0.59025	0.58439	0.57764	0.57142	0.56478	0.55840
  -12     2.625	0.61275	0.60753	0.60136	0.59523	0.58916	0.58250	0.57624	0.56947	0.56307
